UID                 		level		m_spent		m_received		i_sold		i_bought
tuilabo123v         		96.00		0.00000		0.00000		0.00000		0.00000
chautinhtri09493337 		92.00		0.00000		0.00000		500.00000		450.00000
donghofc10          		99.00		285500.00000		0.00000		0.00000		3150.00000
hankissbin6         		88.00		0.00000		0.00000		0.00000		0.00000
chautinhtri09493333 		99.00		0.00000		0.00000		1800.00000		1200.00000
chautinhtri09493332 		99.00		0.00000		0.00000		0.00000		200.00000
chautinhtri09493331 		99.00		0.00000		0.00000		0.00000		200.00000
teika11032          		90.00		0.00000		0.00000		0.00000		300.00000
teika11030          		87.00		443075.00000		0.00000		0.00000		0.00000
butgaodethooi       		79.00		0.00000		0.00000		300.00000		0.00000
maimai1tinhyeutn0317		90.00		0.00000		0.00000		0.00000		100.00000
c4mgj4ca0           		89.00		0.00000		0.00000		200.00000		6168.00000
nguyencongphat1988888		99.00		0.00000		5500000.00000		0.00000		1500.00000
ngocyen2000vip      		95.00		0.00000		0.00000		500.00000		0.00000
embebuffanhne       		99.00		0.00000		0.00000		0.00000		0.00000
volam2097060        		94.00		600000.00000		1020000.00000		3300.00000		1500.00000
spirzemuomquiro     		79.00		0.00000		0.00000		150.00000		0.00000
teika11529          		92.00		0.00000		0.00000		0.00000		300.00000
teika11528          		93.00		0.00000		115324.00000		0.00000		0.00000
topandbottom89      		83.00		3070498.00000		0.00000		0.00000		100.00000
resetslavewafa      		82.00		0.00000		0.00000		150.00000		450.00000
tinhlagi0914viet2   		86.00		0.00000		0.00000		0.00000		0.00000
vietvacacao12       		91.00		0.00000		3000000.00000		0.00000		0.00000
dedianh1144hp       		93.00		0.00000		0.00000		300.00000		500.00000
nguoihungtrolai17   		98.00		0.00000		0.00000		0.00000		0.00000
banabana25111985    		97.00		0.00000		30000000.00000		3900.00000		0.00000
zzheomoi11ov2x      		84.00		0.00000		0.00000		300.00000		300.00000
phamthian131087     		99.00		0.00000		0.00000		200.00000		400.00000
nh0xbu0n0368        		96.00		0.00000		0.00000		0.00000		400.00000
ruaconmylove27      		99.00		0.00000		0.00000		0.00000		1650.00000
tuproiucok6kc       		83.00		0.00000		0.00000		0.00000		600.00000
volam1994lb         		99.00		6500000.00000		0.00000		0.00000		0.00000
hoangsangonlgdak    		80.00		0.00000		0.00000		300.00000		0.00000
