UID                 		level		m_spent		m_received		i_sold		i_bought
qweasdzxcqweasdzxc80119		81.00		5000000.00000		0.00000		0.00000		100.00000
phungxinh2070       		89.00		0.00000		0.00000		400.00000		0.00000
duzoiphantrocxoi    		80.00		2900893.00000		0.00000		0.00000		300.00000
ldwinmafia12        		97.00		500000.00000		0.00000		0.00000		0.00000
donxuancanhdan2013  		99.00		0.00000		1000000.00000		0.00000		0.00000
tienquyen2006       		77.00		0.00000		50000.00000		1600.00000		800.00000
thuyga0493          		98.00		0.00000		0.00000		300.00000		300.00000
qweasdzxcqweasdzxc80110		81.00		0.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80113		81.00		0.00000		0.00000		0.00000		0.00000
volamvocucnb        		92.00		0.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80115		81.00		0.00000		0.00000		0.00000		0.00000
loveyou85vp         		99.00		200000.00000		0.00000		0.00000		438.00000
qweasdzxcqweasdzxc80117		81.00		0.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80116		81.00		0.00000		0.00000		0.00000		0.00000
hoang.linh.tq       		97.00		6110000.00000		0.00000		300.00000		905.00000
anhchangnhaquekt2011		91.00		0.00000		0.00000		0.00000		0.00000
tuvay01online       		92.00		0.00000		0.00000		0.00000		0.00000
tuantndm            		1.00		0.00000		0.00000		0.00000		200.00000
acc2234616          		93.00		0.00000		0.00000		350.00000		0.00000
trinhduyxxx         		98.00		0.00000		0.00000		0.00000		100.00000
ongchuofvip         		80.00		300000.00000		27900000.00000		21300.00000		5200.00000
volam707003         		80.00		12000000.00000		0.00000		22417.00000		5950.00000
phupro12008         		98.00		0.00000		0.00000		0.00000		0.00000
thandieuhieplu1991  		99.00		0.00000		500000.00000		0.00000		400.00000
nhokblack20         		94.00		0.00000		0.00000		0.00000		1000.00000
hayyeuanhdiphongka1 		96.00		0.00000		3000000.00000		4288.00000		600.00000
hayyeuanhdiphongka3 		93.00		3000000.00000		0.00000		300.00000		616.00000
onlinecbq           		91.00		18810000.00000		0.00000		700.00000		0.00000
hanphuong19995      		77.00		3580000.00000		0.00000		0.00000		0.00000
nguyenvanminh022010 		94.00		0.00000		0.00000		0.00000		0.00000
quochuyp9z9         		90.00		510000.00000		0.00000		0.00000		200.00000
lamthientuong21     		95.00		0.00000		0.00000		500.00000		0.00000
thanungsamaccat     		70.00		0.00000		0.00000		0.00000		0.00000
codon1991nt         		67.00		20000.00000		0.00000		0.00000		200.00000
conganh172004       		99.00		0.00000		0.00000		200.00000		800.00000
luynhhang1979       		99.00		38500000.00000		40000000.00000		0.00000		0.00000
djsnhaukja1234      		97.00		0.00000		100000.00000		0.00000		500.00000
lookatmy01          		75.00		9500000.00000		0.00000		0.00000		100.00000
zzbetrangzzac7g     		82.00		0.00000		0.00000		0.00000		300.00000
nguyenthiettri123   		95.00		0.00000		0.00000		0.00000		2938.00000
trankhanhdugt       		61.00		16900000.00000		17000000.00000		200.00000		600.00000
luubaudbdiuan       		79.00		976472.00000		0.00000		0.00000		300.00000
volam2251114        		99.00		0.00000		0.00000		0.00000		100.00000
ledoan589           		59.00		0.00000		0.00000		14350.00000		0.00000
anhchuyenvoibw4u    		85.00		0.00000		0.00000		0.00000		300.00000
htbjnh1             		58.00		0.00000		10000.00000		100.00000		0.00000
v19001520           		97.00		300000.00000		500000.00000		400.00000		600.00000
caothungami1727     		98.00		1000000.00000		2000000.00000		1500.00000		600.00000
nhokviking          		98.00		0.00000		0.00000		2800.00000		3850.00000
tuoibuonlamht7q     		83.00		0.00000		0.00000		2100.00000		1650.00000
hiralio2004         		97.00		0.00000		0.00000		11500.00000		3500.00000
ecuadorxy2x         		80.00		0.00000		0.00000		300.00000		0.00000
cutgacum0           		93.00		0.00000		0.00000		500.00000		0.00000
nerverlove112       		96.00		0.00000		40000000.00000		200.00000		0.00000
vuanh22072013       		97.00		0.00000		32200000.00000		6000.00000		6200.00000
banhtrangtndwhe     		79.00		0.00000		0.00000		150.00000		150.00000
khongocdanh2020     		85.00		6000000.00000		0.00000		0.00000		100.00000
t4ghanam            		96.00		0.00000		0.00000		0.00000		200.00000
trieudan8898000     		99.00		800000.00000		0.00000		0.00000		300.00000
ishbbklbvl12        		93.00		0.00000		0.00000		0.00000		350.00000
bkbuon202           		98.00		0.00000		0.00000		2500.00000		0.00000
nodachi95           		77.00		0.00000		0.00000		324.00000		0.00000
run154              		99.00		0.00000		0.00000		0.00000		500.00000
nuoivkao            		59.00		0.00000		0.00000		200.00000		0.00000
novakimung0075      		88.00		0.00000		0.00000		0.00000		300.00000
bkbuon209           		96.00		0.00000		0.00000		0.00000		500.00000
ngoducduy10098511   		93.00		0.00000		0.00000		600.00000		0.00000
baphuczzzdgc        		96.00		0.00000		600000.00000		2800.00000		0.00000
ngoclinhdoi9        		94.00		0.00000		0.00000		0.00000		0.00000
hklb0111            		91.00		0.00000		0.00000		1200.00000		300.00000
levantranhong       		97.00		0.00000		0.00000		0.00000		0.00000
tieumynhans3lt      		84.00		0.00000		0.00000		0.00000		450.00000
zzxxzz22907         		92.00		0.00000		10000.00000		500.00000		700.00000
teika6483           		88.00		0.00000		0.00000		0.00000		600.00000
luongaimechaci      		79.00		0.00000		0.00000		150.00000		300.00000
nmktyknb1234        		97.00		0.00000		0.00000		200.00000		0.00000
24k78775            		93.00		0.00000		0.00000		300.00000		200.00000
tuanvl877488        		98.00		4180000.00000		0.00000		0.00000		300.00000
giaochoi            		34.00		0.00000		0.00000		312.00000		100.00000
sweetcandy198200    		99.00		22000000.00000		0.00000		0.00000		200.00000
lengocthuyen79      		69.00		10150000.00000		14050000.00000		3809.00000		4000.00000
baxacafehongquan13  		98.00		0.00000		500000.00000		0.00000		0.00000
leodnhongnhabat     		83.00		29423.00000		0.00000		0.00000		150.00000
bigone96x           		90.00		0.00000		0.00000		0.00000		0.00000
ttphiho2944         		60.00		194692.00000		0.00000		0.00000		0.00000
