UID                 		level		m_spent		m_received		i_sold		i_bought
chochuavang77       		93.00		0.00000		0.00000		0.00000		100.00000
zhongthatcongzzz    		82.00		0.00000		700000.00000		400.00000		100.00000
lythuytien2000      		97.00		0.00000		0.00000		0.00000		2500.00000
dream1979           		82.00		0.00000		700000.00000		0.00000		0.00000
25111982vltk2       		99.00		22000000.00000		80000000.00000		0.00000		1950.00000
congaihieuphuongtlq 		68.00		0.00000		0.00000		0.00000		0.00000
fantasy030509       		99.00		986214.00000		0.00000		0.00000		0.00000
hactienggchuotbang  		83.00		0.00000		0.00000		150.00000		600.00000
chienluan92         		95.00		0.00000		0.00000		0.00000		100.00000
hoang.linh.tq       		97.00		0.00000		0.00000		100.00000		0.00000
voanhtu222ivcx      		79.00		0.00000		0.00000		300.00000		300.00000
nguamau195          		99.00		14250000.00000		21520000.00000		4250.00000		1521.00000
anh2nhangheopro79   		99.00		0.00000		0.00000		0.00000		700.00000
tranvanphuongkt19982015		72.00		0.00000		8456500.00000		7950.00000		700.00000
00luuhuy11          		97.00		0.00000		0.00000		0.00000		0.00000
batongtanxaccavolam2vn		94.00		0.00000		0.00000		350.00000		0.00000
vothangkhanh2009    		97.00		200000.00000		0.00000		100.00000		100.00000
phucbeijing1988     		95.00		0.00000		0.00000		500.00000		0.00000
hayyeuanhdiphongka1 		96.00		0.00000		0.00000		0.00000		0.00000
zzholytinhzmhwr     		82.00		0.00000		0.00000		0.00000		1200.00000
onlinecbq           		91.00		4500000.00000		0.00000		1100.00000		800.00000
dauguttraitoai      		79.00		0.00000		0.00000		150.00000		150.00000
h0neytea            		99.00		0.00000		0.00000		0.00000		700.00000
1stv0l4m            		99.00		0.00000		0.00000		0.00000		100.00000
kiemtienbb23        		89.00		0.00000		0.00000		300.00000		0.00000
kiemtienbb24        		89.00		0.00000		0.00000		300.00000		0.00000
djsnhaukja1234      		97.00		0.00000		0.00000		0.00000		0.00000
ztangkiemsr33o      		80.00		0.00000		0.00000		150.00000		0.00000
lookatmy01          		76.00		32000000.00000		0.00000		100.00000		200.00000
kutebaby99tk        		99.00		0.00000		0.00000		0.00000		0.00000
khakhabh1997pro123  		80.00		0.00000		150000.00000		0.00000		0.00000
hoangdinhphong19882015		61.00		0.00000		0.00000		400.00000		400.00000
tamcuipro1          		92.00		0.00000		0.00000		1050.00000		0.00000
trankhanhdugt       		63.00		0.00000		0.00000		0.00000		2200.00000
itachi20012         		82.00		0.00000		1897490.00000		0.00000		100.00000
thiennhaxac1        		99.00		2450000.00000		0.00000		3000.00000		0.00000
herowar1008         		97.00		290000.00000		10220000.00000		1000.00000		0.00000
htbjnh9             		53.00		350000.00000		0.00000		100.00000		0.00000
tuoda1989           		87.00		0.00000		0.00000		0.00000		0.00000
htbjnh1             		58.00		0.00000		0.00000		100.00000		300.00000
alaxan500vn         		99.00		0.00000		0.00000		0.00000		300.00000
caothungami1727     		98.00		500000.00000		1000000.00000		0.00000		0.00000
thbb854             		73.00		0.00000		0.00000		0.00000		450.00000
vdoankyhao09        		98.00		0.00000		0.00000		500.00000		0.00000
quoctri8rerj        		79.00		0.00000		0.00000		150.00000		150.00000
aphuczzz39          		92.00		0.00000		800000.00000		0.00000		0.00000
ecuadorxy2x         		80.00		0.00000		0.00000		450.00000		0.00000
zzbetrangzzun6b     		79.00		0.00000		0.00000		750.00000		0.00000
banhtrangtndwhe     		79.00		0.00000		0.00000		150.00000		150.00000
khongocdanh2020     		85.00		0.00000		0.00000		1000.00000		1050.00000
teika0564           		91.00		0.00000		29000.00000		0.00000		0.00000
bkbuon207           		83.00		0.00000		0.00000		100.00000		0.00000
songkhe92bg         		94.00		0.00000		0.00000		0.00000		1201.00000
trincuocmwumhong    		79.00		0.00000		0.00000		1950.00000		1500.00000
bkbuon202           		98.00		0.00000		0.00000		0.00000		100.00000
ngoducduy10098511   		94.00		0.00000		0.00000		500.00000		0.00000
babynhocag2612      		90.00		0.00000		0.00000		2650.00000		1300.00000
ngoclinhdoi9        		94.00		0.00000		300000.00000		0.00000		0.00000
cuipap112233        		99.00		0.00000		0.00000		0.00000		500.00000
zzxxzz22907         		94.00		0.00000		0.00000		0.00000		0.00000
ngoahotanlong7      		99.00		0.00000		0.00000		0.00000		100.00000
zzzvipvolam2zzz     		99.00		0.00000		0.00000		0.00000		200.00000
camtientu0908070605 		98.00		0.00000		46660000.00000		350.00000		0.00000
thaispk123          		95.00		0.00000		0.00000		0.00000		218.00000
alicenguyen123420   		67.00		900000.00000		900000.00000		200.00000		0.00000
banbuffvolam2       		95.00		0.00000		0.00000		0.00000		500.00000
