UID                 		level		m_spent		m_received		i_sold		i_bought
phungxinh2070       		89.00		24000000.00000		35000000.00000		200.00000		1200.00000
zhongthatcongzzz    		82.00		0.00000		0.00000		0.00000		0.00000
taitoilatoivn       		74.00		0.00000		100000.00000		0.00000		0.00000
25111982vltk2       		99.00		40000000.00000		0.00000		17400.00000		0.00000
thuyga0493          		98.00		0.00000		400000.00000		2200.00000		800.00000
qweasdzxcqweasdzxc80113		81.00		0.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80112		81.00		0.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80115		81.00		0.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80114		81.00		0.00000		0.00000		0.00000		0.00000
hoang.linh.tq       		97.00		10900000.00000		50000000.00000		200.00000		0.00000
ttdaho1893          		63.00		0.00000		0.00000		0.00000		450.00000
voanhtu222ivcx      		79.00		0.00000		0.00000		150.00000		150.00000
kinghero180987      		99.00		40000000.00000		0.00000		500.00000		100.00000
nguamau195          		99.00		0.00000		13000000.00000		0.00000		0.00000
quyexttrisungnhuom  		79.00		0.00000		0.00000		150.00000		150.00000
ongchacha8          		81.00		0.00000		0.00000		6650.00000		350.00000
thoangthiet155      		93.00		0.00000		0.00000		100.00000		500.00000
00luuhuy11          		97.00		0.00000		0.00000		0.00000		0.00000
lamlaitudaubd       		90.00		365487473.00000		19999000.00000		200.00000		0.00000
volam230506992      		96.00		0.00000		0.00000		0.00000		100.00000
thieulamdao0811     		96.00		0.00000		0.00000		0.00000		0.00000
thanhgo9x_zz        		24.00		40000.00000		50000.00000		304.00000		0.00000
maimai1tinhyeutn05  		97.00		0.00000		0.00000		0.00000		0.00000
hatuanviettvc       		99.00		0.00000		5000000.00000		0.00000		0.00000
phamducthuan0707    		99.00		0.00000		0.00000		200.00000		400.00000
lamthientuong21     		95.00		0.00000		0.00000		0.00000		0.00000
chientruong2011song 		95.00		0.00000		0.00000		0.00000		350.00000
thanungsamaccat     		70.00		0.00000		0.00000		0.00000		0.00000
thaychuap11         		85.00		0.00000		220000.00000		0.00000		0.00000
diepngoctrangj8ch   		79.00		0.00000		0.00000		0.00000		150.00000
hoanhsonmk          		96.00		0.00000		1000000.00000		0.00000		0.00000
oicaicuocdoinay28   		98.00		0.00000		1180000.00000		22000.00000		500.00000
kutebaby99tk        		99.00		0.00000		0.00000		0.00000		0.00000
khiconngocbuon10    		93.00		24000000.00000		0.00000		0.00000		0.00000
zzbetrangzzac7g     		82.00		0.00000		0.00000		0.00000		600.00000
kiniembuon50000     		79.00		0.00000		0.00000		0.00000		0.00000
nguyenthiettri123   		95.00		34647678.00000		165162071.00000		350.00000		700.00000
bachkyphong00007    		90.00		0.00000		0.00000		0.00000		200.00000
trankhanhdugt       		47.00		0.00000		0.00000		200.00000		0.00000
thiennhaxac1        		99.00		0.00000		0.00000		0.00000		500.00000
girldiecphi17       		57.00		6600000.00000		0.00000		0.00000		0.00000
ttdaho1974          		62.00		0.00000		0.00000		0.00000		450.00000
trangnew10012       		98.00		0.00000		920000.00000		0.00000		400.00000
v19001520           		97.00		8400000.00000		8400000.00000		0.00000		1000.00000
caothungami1727     		98.00		0.00000		0.00000		1200.00000		500.00000
daikalinhsonla1986  		99.00		0.00000		1440000.00000		100.00000		100.00000
vdoankyhao09        		98.00		0.00000		0.00000		800.00000		0.00000
quoctri8rerj        		79.00		0.00000		0.00000		150.00000		150.00000
hiralio2004         		97.00		0.00000		4000000.00000		350.00000		700.00000
cuibaptiensinh2011bn		97.00		90000000.00000		0.00000		800.00000		0.00000
cosucui1927         		98.00		47000000.00000		0.00000		0.00000		200.00000
herolic00           		84.00		16700000.00000		0.00000		0.00000		800.00000
khongocdanh2020     		85.00		0.00000		0.00000		0.00000		0.00000
truonggiang007kg    		94.00		0.00000		4000000.00000		600.00000		0.00000
lieuthelong1999     		78.00		5564125.00000		0.00000		0.00000		2800.00000
bkbuon207           		83.00		0.00000		0.00000		0.00000		0.00000
volam2372383        		96.00		0.00000		0.00000		0.00000		400.00000
bkbuon202           		98.00		0.00000		0.00000		200.00000		0.00000
nodachi95           		77.00		0.00000		70000.00000		200.00000		0.00000
lieuthelong1990     		77.00		24690435.00000		0.00000		0.00000		3150.00000
nhtl0290000         		93.00		0.00000		100000.00000		0.00000		0.00000
reutonhaichungcho   		79.00		0.00000		0.00000		300.00000		300.00000
sungka774           		95.00		0.00000		200000.00000		500.00000		500.00000
ngoducduy10098511   		93.00		0.00000		0.00000		0.00000		0.00000
baphuczzzdgc        		96.00		0.00000		900000.00000		3200.00000		400.00000
thuyquynh2202       		99.00		0.00000		30000000.00000		0.00000		0.00000
levantranhong       		97.00		0.00000		0.00000		0.00000		0.00000
keryban6            		32.00		760000.00000		30000.00000		14247.00000		2408.00000
tranphitruong1989   		94.00		2000000.00000		2000000.00000		200.00000		200.00000
zzxxzz22907         		92.00		0.00000		0.00000		16150.00000		8100.00000
huybanhuy94         		99.00		0.00000		0.00000		0.00000		0.00000
daianhhpk1          		95.00		0.00000		0.00000		1803.00000		0.00000
ttdaho2652          		62.00		0.00000		0.00000		0.00000		450.00000
ttdaho2650          		62.00		0.00000		0.00000		0.00000		450.00000
xempk2015           		80.00		40080000.00000		47420000.00000		100.00000		3900.00000
giaochoi            		24.00		0.00000		0.00000		418.00000		418.00000
ttdaho2655          		64.00		0.00000		0.00000		0.00000		900.00000
ttdaho2654          		65.00		0.00000		0.00000		0.00000		900.00000
banbuffvolam2       		95.00		0.00000		400000.00000		0.00000		908.00000
ttdaho2658          		62.00		0.00000		0.00000		0.00000		600.00000
vltk001c            		53.00		0.00000		0.00000		0.00000		0.00000
actrungsinhthu1     		81.00		0.00000		0.00000		0.00000		5000.00000
kimchuahpu          		80.00		0.00000		0.00000		300.00000		0.00000
drakula108          		99.00		0.00000		0.00000		0.00000		6000.00000
teika1063           		89.00		616874.00000		0.00000		0.00000		0.00000
nhingimayemut2112   		93.00		2000000.00000		0.00000		0.00000		0.00000
choihamun381        		84.00		0.00000		0.00000		0.00000		11550.00000
darnhoigioihe       		79.00		0.00000		0.00000		300.00000		0.00000
kkjjhhjjkk          		97.00		0.00000		0.00000		600.00000		400.00000
dangnhattrinh1997   		70.00		0.00000		0.00000		0.00000		0.00000
tulachuong1fjal     		84.00		0.00000		0.00000		600.00000		0.00000
pemumu2k6           		93.00		3000000.00000		23000000.00000		1100.00000		3358.00000
as122143            		99.00		0.00000		0.00000		200.00000		0.00000
tinhyeuvotan3       		85.00		0.00000		0.00000		2300.00000		200.00000
tuilabo123v         		96.00		0.00000		0.00000		100.00000		100.00000
hankissbin5         		89.00		0.00000		6000000.00000		2000.00000		200.00000
hankissbin4         		90.00		0.00000		0.00000		500.00000		200.00000
dodieuduong         		91.00		0.00000		0.00000		200.00000		0.00000
hankissbin6         		88.00		0.00000		0.00000		400.00000		0.00000
chautinhtri09493333 		99.00		0.00000		8000000.00000		700.00000		1600.00000
15venus96           		75.00		1874998.00000		0.00000		0.00000		0.00000
vlvolam20102        		97.00		0.00000		700000.00000		0.00000		600.00000
maimai1tinhyeutn0310		89.00		28800000.00000		0.00000		0.00000		0.00000
kakaolj551ehbm      		82.00		0.00000		0.00000		0.00000		300.00000
maimai1tinhyeutn0312		90.00		5390000.00000		0.00000		0.00000		0.00000
maimai1tinhyeutn0315		90.00		0.00000		0.00000		0.00000		200.00000
maimai1tinhyeutn0317		90.00		0.00000		0.00000		0.00000		300.00000
hoangtuloves1111    		79.00		0.00000		0.00000		0.00000		0.00000
c4mgj4ca0           		89.00		0.00000		39000000.00000		200.00000		800.00000
nguyencongphat1988888		99.00		0.00000		0.00000		0.00000		1000.00000
crycry1309          		99.00		0.00000		0.00000		0.00000		0.00000
teika9262           		90.00		0.00000		0.00000		0.00000		300.00000
quanlytiemgame1     		95.00		0.00000		1123550.00000		0.00000		0.00000
avayne1620          		98.00		0.00000		17000000.00000		0.00000		700.00000
dkmcbb80            		97.00		0.00000		0.00000		200.00000		0.00000
baolongbang2016     		85.00		253578.00000		71144.00000		0.00000		3850.00000
giahungnet2012      		99.00		0.00000		0.00000		0.00000		312.00000
volam8230hn         		88.00		67174.00000		0.00000		0.00000		1560.00000
dedianh1144hp       		93.00		0.00000		0.00000		100.00000		0.00000
baby100kgvn109      		38.00		0.00000		0.00000		0.00000		108.00000
phamthian131087     		99.00		0.00000		0.00000		0.00000		2400.00000
samac0919693531     		56.00		0.00000		0.00000		700.00000		350.00000
gianghihcm          		98.00		0.00000		0.00000		1200.00000		0.00000
tuproiucok6kc       		83.00		0.00000		0.00000		0.00000		300.00000
volam1994lb         		99.00		0.00000		0.00000		0.00000		400.00000
gchuthottruynhip    		79.00		0.00000		0.00000		150.00000		150.00000
anhlinhtn1571990    		97.00		0.00000		0.00000		1200.00000		200.00000
ruaconmylove29      		85.00		0.00000		0.00000		0.00000		100.00000
phucantv07          		96.00		0.00000		0.00000		0.00000		808.00000
khucthuydu1412      		99.00		0.00000		0.00000		900.00000		0.00000
0001bao1000         		97.00		0.00000		0.00000		0.00000		3000.00000
quyen210219801      		73.00		0.00000		0.00000		0.00000		0.00000
xukathoidai1000     		93.00		0.00000		0.00000		1200.00000		0.00000
levanchung20167777  		65.00		0.00000		70000.00000		1900.00000		200.00000
kesjtinh0123        		98.00		0.00000		0.00000		1200.00000		0.00000
cinemax85tt         		97.00		0.00000		20000000.00000		600.00000		100.00000
chipbor8x           		99.00		0.00000		0.00000		0.00000		219.00000
myvinh04            		99.00		620000.00000		1770000.00000		800.00000		2300.00000
nhtl070560          		99.00		0.00000		0.00000		600.00000		0.00000
nhingianh100        		99.00		0.00000		0.00000		0.00000		0.00000
levanmax19942016    		81.00		70000.00000		0.00000		0.00000		1002.00000
vienthongphuhung2014ag		99.00		0.00000		0.00000		0.00000		10500.00000
quikhocthanhsau1993 		99.00		1500000.00000		0.00000		350.00000		0.00000
buffxinh1906        		91.00		0.00000		0.00000		1500.00000		700.00000
tochinhchi2012      		95.00		0.00000		0.00000		648.00000		1050.00000
embo2411            		81.00		28700000.00000		20900000.00000		0.00000		350.00000
ta0k0biet222        		99.00		0.00000		0.00000		350.00000		2200.00000
heraclec123         		7.00		0.00000		0.00000		200.00000		100.00000
taophongchemgio2    		92.00		0.00000		34000000.00000		300.00000		200.00000
hontoidico123       		98.00		47610000.00000		0.00000		602.00000		0.00000
tmobiledd           		90.00		0.00000		1000000.00000		200.00000		0.00000
rongchieudetieit    		80.00		0.00000		0.00000		900.00000		150.00000
vnmngoaho026        		50.00		0.00000		7335338.00000		0.00000		0.00000
vnmngoaho025        		50.00		0.00000		10251696.00000		0.00000		0.00000
haitac14750         		66.00		0.00000		0.00000		300.00000		0.00000
vnghivl55           		90.00		0.00000		0.00000		0.00000		0.00000
loictm33e           		99.00		6290000.00000		140000.00000		1000.00000		900.00000
hajtacthaj123       		99.00		0.00000		700000.00000		600.00000		500.00000
thek3nzy            		99.00		0.00000		0.00000		700.00000		0.00000
luislexuxtmpj       		81.00		0.00000		0.00000		600.00000		0.00000
jjkffh2810          		99.00		0.00000		0.00000		0.00000		600.00000
banchum5            		95.00		0.00000		0.00000		100.00000		100.00000
maytbnl4            		32.00		6000000.00000		6000000.00000		4000.00000		3800.00000
gaiqragengonma      		80.00		0.00000		0.00000		150.00000		0.00000
apolatalk99         		93.00		0.00000		33000000.00000		350.00000		0.00000
loictm33x           		96.00		900000.00000		0.00000		0.00000		0.00000
laisuri1812azdg     		79.00		0.00000		0.00000		300.00000		0.00000
kembai2             		35.00		0.00000		420000.00000		4463.00000		0.00000
tvday07             		96.00		0.00000		0.00000		0.00000		1050.00000
satthu222222222     		85.00		19500000.00000		0.00000		500.00000		0.00000
kembai6             		99.00		50000.00000		0.00000		0.00000		100.00000
kembai7             		99.00		0.00000		0.00000		0.00000		600.00000
loictm33r           		83.00		200000.00000		0.00000		0.00000		0.00000
nguyenquangkhai97bn 		99.00		0.00000		0.00000		200.00000		0.00000
ujyencheojavalinh   		83.00		0.00000		0.00000		300.00000		0.00000
teika3751           		92.00		0.00000		0.00000		0.00000		900.00000
b0923401685         		95.00		0.00000		0.00000		0.00000		0.00000
lequoctho2013hcm    		86.00		0.00000		0.00000		200.00000		0.00000
lhlb0999            		51.00		7500000.00000		0.00000		52200.00000		10000.00000
tranhongphuong0937136427		51.00		10000000.00000		0.00000		0.00000		0.00000
phungchilinhvn2062  		94.00		0.00000		0.00000		12400.00000		1000.00000
1stv0l4m            		99.00		0.00000		0.00000		0.00000		1400.00000
loidaithanhdo1992   		70.00		48000000.00000		0.00000		0.00000		0.00000
zphuoc98            		61.00		2400000.00000		0.00000		600.00000		0.00000
nguyenthihongut6    		84.00		0.00000		0.00000		600.00000		600.00000
a3511513a           		96.00		0.00000		70000.00000		1500.00000		1300.00000
eriolhiragizawa456  		93.00		0.00000		0.00000		0.00000		850.00000
cokhinaoroixalove   		85.00		0.00000		0.00000		300.00000		0.00000
volam0914856897     		91.00		0.00000		0.00000		0.00000		0.00000
zchetvigame30z      		97.00		0.00000		13700000.00000		300.00000		0.00000
mythitrakim         		83.00		0.00000		100000.00000		0.00000		0.00000
supcua2k16          		93.00		0.00000		0.00000		0.00000		300.00000
babylove23101992    		91.00		0.00000		5000000.00000		0.00000		100.00000
rongdocco           		99.00		0.00000		0.00000		0.00000		0.00000
thienlangytbt01     		98.00		0.00000		500000.00000		600.00000		600.00000
toilawin03          		92.00		3000000.00000		0.00000		0.00000		0.00000
vuamoclop9c         		73.00		120200000.00000		88000000.00000		350.00000		700.00000
teika0087           		91.00		0.00000		0.00000		0.00000		300.00000
thlitriathocchit    		80.00		0.00000		0.00000		450.00000		450.00000
teika0085           		91.00		0.00000		0.00000		0.00000		600.00000
teika0084           		91.00		0.00000		36500.00000		0.00000		0.00000
vetthuongdauzxlxob  		80.00		0.00000		0.00000		300.00000		0.00000
docnhantruyhon1     		99.00		400000.00000		2500000.00000		350.00000		1050.00000
BACHXA003           		96.00		0.00000		0.00000		600.00000		700.00000
jackhammer2222      		73.00		0.00000		0.00000		303.00000		303.00000
loictm333           		95.00		3900000.00000		16190000.00000		2100.00000		800.00000
tuanmytayvn         		60.00		12000000.00000		0.00000		0.00000		0.00000
vuhuyhoi009         		98.00		0.00000		0.00000		0.00000		1000.00000
langtuthieuhiep2013 		97.00		6000000.00000		300000.00000		400.00000		1400.00000
emyeuanhnhe01660    		99.00		0.00000		0.00000		0.00000		0.00000
thuanthanhlongll01  		76.00		75150000.00000		800000.00000		3800.00000		2512.00000
qtrongbimruudoi     		80.00		0.00000		0.00000		150.00000		0.00000
duongtapchoi2       		99.00		0.00000		4390000.00000		1100.00000		900.00000
sojvjp1102          		79.00		0.00000		0.00000		0.00000		0.00000
volammynu0102       		94.00		0.00000		0.00000		0.00000		100.00000
tungnham2015        		98.00		0.00000		5000000.00000		0.00000		0.00000
canhqdhc            		94.00		0.00000		50000.00000		100.00000		108.00000
