UID                 		level		m_spent		m_received		i_sold		i_bought
qweasdzxcqweasdzxc80118		81.00		0.00000		0.00000		0.00000		0.00000
25111982vltk2       		99.00		0.00000		120000000.00000		0.00000		350.00000
thuyga0493          		98.00		0.00000		0.00000		1800.00000		900.00000
muabang19841        		99.00		300000.00000		0.00000		0.00000		700.00000
nguyenvanhoctg3     		96.00		700000.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80117		81.00		0.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80116		81.00		0.00000		0.00000		0.00000		0.00000
hoang.linh.tq       		97.00		35000000.00000		11380000.00000		3150.00000		1765.00000
anhchangnhaquekt2011		91.00		0.00000		0.00000		25130.00000		1100.00000
tuvay01online       		92.00		19000000.00000		0.00000		200.00000		700.00000
dang_lam_viet       		77.00		2601021.00000		3026946.00000		0.00000		600.00000
acc2234614          		99.00		0.00000		0.00000		13200.00000		2000.00000
monsterhieu200      		41.00		0.00000		0.00000		200.00000		200.00000
acc2234616          		94.00		0.00000		0.00000		0.00000		8100.00000
zzconhanuusaui63n   		83.00		0.00000		0.00000		0.00000		600.00000
ongchacha8          		99.00		0.00000		400000.00000		10150.00000		2450.00000
thoangthiet155      		93.00		1165405.00000		1210000.00000		0.00000		903.00000
phungnghitiger1     		95.00		0.00000		0.00000		0.00000		0.00000
duongmontv0         		34.00		0.00000		620000.00000		0.00000		0.00000
ongchuofvip         		81.00		0.00000		4410000.00000		9900.00000		7300.00000
hayyeuanhdiphongka1 		96.00		450000.00000		0.00000		19654.00000		4150.00000
01232268631thieu    		56.00		0.00000		0.00000		0.00000		0.00000
vnmthienphung031    		50.00		0.00000		12133587.00000		0.00000		0.00000
tranphatdatcm       		98.00		17800.00000		50000.00000		0.00000		0.00000
anhtjen110119       		90.00		0.00000		0.00000		0.00000		1400.00000
lamthientuong21     		96.00		0.00000		1000000.00000		900.00000		0.00000
kiemtienbb23        		89.00		0.00000		0.00000		300.00000		0.00000
kiemtienbb24        		89.00		0.00000		0.00000		150.00000		0.00000
diepngoctrangj8ch   		79.00		0.00000		0.00000		150.00000		150.00000
lookatmy01          		76.00		11000000.00000		0.00000		3000.00000		0.00000
nguyenthiettri123   		95.00		0.00000		6285200.00000		6500.00000		0.00000
trankhanhdugt       		61.00		0.00000		0.00000		0.00000		0.00000
thiennhaxac1        		99.00		8000000.00000		0.00000		13000.00000		500.00000
volam2251114        		99.00		0.00000		0.00000		1000.00000		1000.00000
tengiamngioanhuc    		79.00		0.00000		0.00000		2250.00000		2250.00000
ledoan589           		59.00		0.00000		0.00000		5250.00000		0.00000
tuoda1989           		87.00		0.00000		0.00000		0.00000		0.00000
htbjnh1             		58.00		0.00000		20000.00000		2507.00000		0.00000
caothungami1727     		98.00		0.00000		1500000.00000		600.00000		150.00000
daikalinhsonla1986  		99.00		0.00000		0.00000		0.00000		350.00000
nguyenvanhuynh2023  		99.00		0.00000		0.00000		0.00000		0.00000
ecuadorxy2x         		80.00		0.00000		0.00000		150.00000		1650.00000
zzbetrangzzun6b     		79.00		0.00000		0.00000		450.00000		0.00000
vuanh22072013       		97.00		0.00000		4800000.00000		5400.00000		100.00000
