UID                 		level		m_spent		m_received		i_sold		i_bought
qweasdzxcqweasdzxc80119		81.00		0.00000		0.00000		0.00000		0.00000
phungxinh2070       		89.00		0.00000		0.00000		0.00000		5400.00000
zhongthatcongzzz    		82.00		0.00000		0.00000		100.00000		0.00000
donxuancanhdan2013  		99.00		0.00000		0.00000		0.00000		2500.00000
25111982vltk2       		99.00		11000000.00000		0.00000		350.00000		0.00000
thuyga0493          		98.00		0.00000		60000.00000		0.00000		0.00000
k54b6lkt            		52.00		0.00000		7640000.00000		1020.00000		0.00000
tnmaimai1tinhyeu18  		97.00		0.00000		0.00000		0.00000		0.00000
qweasdzxcqweasdzxc80117		81.00		0.00000		0.00000		0.00000		0.00000
chienluan92         		95.00		0.00000		10000000.00000		200.00000		450.00000
anhchangnhaquekt2011		91.00		0.00000		0.00000		0.00000		0.00000
tuvay01online       		92.00		0.00000		0.00000		0.00000		1000.00000
voanhtu222ivcx      		79.00		0.00000		0.00000		150.00000		150.00000
acc2234614          		99.00		0.00000		0.00000		900.00000		0.00000
kinghero180987      		99.00		15000000.00000		0.00000		0.00000		0.00000
daianhhpk1          		95.00		0.00000		0.00000		6060.00000		2828.00000
tranvanphuongkt19982015		70.00		19600224.00000		95025500.00000		7750.00000		550.00000
teika10282          		91.00		0.00000		0.00000		0.00000		900.00000
zid.sieuquay8505    		86.00		0.00000		0.00000		0.00000		0.00000
00luuhuy11          		97.00		0.00000		0.00000		400.00000		200.00000
vbonuw28            		97.00		0.00000		2220000.00000		0.00000		0.00000
duongmontv0         		64.00		150000.00000		6000.00000		600.00000		0.00000
kuhoanghai02        		95.00		0.00000		0.00000		0.00000		0.00000
hacmautv113         		1.00		0.00000		0.00000		0.00000		5700.00000
nhokblack20         		94.00		0.00000		0.00000		0.00000		100.00000
hayyeuanhdiphongka1 		96.00		0.00000		0.00000		1200.00000		200.00000
tienquyen2006       		77.00		400000.00000		400000.00000		1350.00000		3450.00000
vnmthienphung031    		50.00		0.00000		18694755.00000		0.00000		0.00000
onlinecbq           		91.00		0.00000		0.00000		300.00000		100.00000
hanphuong19995      		77.00		1250000.00000		0.00000		0.00000		100.00000
bxnokisao112        		80.00		0.00000		0.00000		200.00000		200.00000
lamthientuong21     		96.00		0.00000		0.00000		400.00000		1032.00000
thanungsamaccat     		70.00		0.00000		0.00000		0.00000		0.00000
hiepkabenaitalya    		50.00		0.00000		0.00000		0.00000		1800.00000
conganh172004       		99.00		7000000.00000		0.00000		10300.00000		600.00000
djsnhaukja1234      		97.00		0.00000		0.00000		0.00000		500.00000
lookatmy01          		76.00		33000900.00000		0.00000		8000.00000		600.00000
khiconngocbuon10    		93.00		20000000.00000		26000000.00000		750.00000		2748.00000
hoangdinhphong19882015		59.00		0.00000		0.00000		0.00000		0.00000
bachkyphong00007    		90.00		0.00000		0.00000		1050.00000		0.00000
trankhanhdugt       		61.00		0.00000		0.00000		5800.00000		600.00000
cuonghas            		93.00		0.00000		0.00000		0.00000		500.00000
hoangdinhphong19882013		95.00		22400000.00000		23080000.00000		700.00000		700.00000
hiepsigocong        		99.00		0.00000		400000.00000		0.00000		0.00000
zzacvl2zz           		56.00		0.00000		400000.00000		0.00000		0.00000
ledoan589           		59.00		0.00000		0.00000		6300.00000		0.00000
chimchuot99         		95.00		0.00000		0.00000		0.00000		1616.00000
alaxan500vn         		99.00		0.00000		0.00000		3704.00000		600.00000
caothungami1727     		98.00		0.00000		2440000.00000		0.00000		808.00000
qweasdzxcqweasdzxc80116		81.00		0.00000		0.00000		0.00000		0.00000
nhatrepthatnhoi     		79.00		0.00000		0.00000		0.00000		750.00000
trangduy9999        		82.00		18400000.00000		12000000.00000		1400.00000		1050.00000
quoctri8rerj        		79.00		0.00000		0.00000		150.00000		150.00000
kechungtinh0710     		19.00		100000.00000		0.00000		0.00000		0.00000
anhhieupro4398      		79.00		0.00000		0.00000		1750.00000		350.00000
tranhbsongirishuyen 		80.00		0.00000		0.00000		0.00000		1200.00000
tanstyle19951995    		81.00		0.00000		47800000.00000		3000.00000		0.00000
avnking2010         		96.00		0.00000		0.00000		0.00000		300.00000
nghekhactrung       		99.00		0.00000		0.00000		0.00000		100.00000
trincuocmwumhong    		79.00		0.00000		0.00000		450.00000		0.00000
bkbuon202           		98.00		0.00000		0.00000		1000.00000		0.00000
nodachi95           		77.00		0.00000		0.00000		200.00000		200.00000
reutonhaichungcho   		80.00		0.00000		0.00000		150.00000		150.00000
