UID                 		level		m_spent		m_received		i_sold		i_bought
cuoivobung012       		92.00		0.00000		1000000.00000		0.00000		0.00000
zhongthatcongzzz    		82.00		0.00000		90000.00000		200.00000		100.00000
lonely_boy_889      		74.00		0.00000		0.00000		0.00000		0.00000
donxuancanhdan2013  		99.00		0.00000		1000000.00000		0.00000		0.00000
25111982vltk2       		99.00		200000.00000		0.00000		0.00000		2000.00000
vnbitcoin.com97     		95.00		0.00000		0.00000		0.00000		204.00000
fantasy030509       		99.00		200000.00000		0.00000		0.00000		3000.00000
chinhlaanh0505      		99.00		0.00000		0.00000		100.00000		200.00000
hactienggchuotbang  		83.00		0.00000		0.00000		450.00000		0.00000
hoang.linh.tq       		97.00		5800000.00000		290000.00000		0.00000		300.00000
anhchangnhaquekt2011		91.00		0.00000		0.00000		0.00000		400.00000
tuvay01online       		92.00		18000000.00000		0.00000		0.00000		100.00000
khoacuchi4a         		98.00		143000000.00000		125000000.00000		0.00000		0.00000
cophuonghoanglua3   		98.00		0.00000		0.00000		200.00000		400.00000
acc2234614          		99.00		0.00000		0.00000		3000.00000		7200.00000
lythanhloivc936     		93.00		0.00000		0.00000		0.00000		100.00000
nguamau195          		99.00		0.00000		1000000.00000		500.00000		100.00000
zzconhanuusaui63n   		83.00		0.00000		0.00000		0.00000		600.00000
ongchacha8          		99.00		0.00000		0.00000		0.00000		500.00000
nguyenbalong2008    		98.00		1000000.00000		3300000.00000		1200.00000		600.00000
lagg20138           		97.00		17847300.00000		0.00000		0.00000		0.00000
00luuhuy11          		97.00		0.00000		0.00000		0.00000		0.00000
kuhoanghai03        		85.00		0.00000		0.00000		200.00000		200.00000
kuhoanghai02        		95.00		4400000.00000		547600.00000		1800.00000		1200.00000
hayyeuanhdiphongka1 		96.00		0.00000		0.00000		2000.00000		0.00000
hayyeuanhdiphongka3 		93.00		0.00000		40000000.00000		0.00000		0.00000
tranphatdatcm       		98.00		50000.00000		0.00000		100.00000		600.00000
thuyga0493          		98.00		0.00000		0.00000		350.00000		600.00000
ongthu234mfuv       		83.00		0.00000		0.00000		150.00000		0.00000
phamvankhoa03       		98.00		0.00000		1880000.00000		600.00000		301.00000
lamthientuong21     		96.00		0.00000		2000000.00000		0.00000		0.00000
anhthunhut1         		91.00		0.00000		9900.00000		2400.00000		1800.00000
