UID                 		level		m_spent		m_received		i_sold		i_bought
phungxinh2070       		87.00		0.00000		0.00000		0.00000		0.00000
zhongthatcongzzz    		82.00		800000.00000		0.00000		700.00000		0.00000
duzoiphantrocxoi    		80.00		0.00000		0.00000		2250.00000		2250.00000
donxuancanhdan2013  		599.00		1000000.00000		0.00000		400.00000		1000.00000
01232268631thieu    		75.00		0.00000		0.00000		200.00000		200.00000
thuyga0493          		698.00		0.00000		0.00000		400.00000		100.00000
muabang19841        		599.00		0.00000		200000.00000		100.00000		0.00000
nguyenvanhoctg3     		595.00		0.00000		0.00000		0.00000		800.00000
lavitio13           		75.00		1510000.00000		0.00000		0.00000		2000.00000
winbay11            		84.00		0.00000		0.00000		0.00000		100.00000
tranradi000         		691.00		0.00000		0.00000		1400.00000		0.00000
tuantndm            		73.00		0.00000		0.00000		0.00000		10850.00000
cophuonghoanglua3   		698.00		500000.00000		0.00000		700.00000		0.00000
acc2234614          		599.00		31000000.00000		67800000.00000		8100.00000		4200.00000
nguamau195          		599.00		0.00000		1060000.00000		4000.00000		1700.00000
anh2nhangheopro79   		599.00		0.00000		28000000.00000		1700.00000		3000.00000
thoangthiet155      		592.00		0.00000		0.00000		903.00000		0.00000
huavinhtruong2222   		74.00		1108333.00000		0.00000		0.00000		0.00000
volam230506992      		696.00		0.00000		0.00000		0.00000		0.00000
tinhdathoi07        		77.00		500000.00000		6000000.00000		0.00000		0.00000
vietvacacao12       		90.00		0.00000		0.00000		0.00000		0.00000
calvinbaby1999      		81.00		0.00000		0.00000		200.00000		600.00000
hayyeuanhdiphongka1 		696.00		0.00000		2500000.00000		400.00000		1050.00000
drducthinh19862020  		698.00		100000.00000		0.00000		100.00000		1400.00000
onlinecbq           		590.00		16260000.00000		0.00000		400.00000		100.00000
lehieu10503         		57.00		658594.00000		0.00000		1000.00000		1800.00000
khongyeuthythoiem4  		10.00		0.00000		0.00000		0.00000		900.00000
khongyeuthythoiem2  		591.00		0.00000		0.00000		900.00000		0.00000
phamducthuan0707    		699.00		1000000.00000		20000001.00000		300.00000		300.00000
1stv0l4m            		599.00		200000.00000		0.00000		0.00000		0.00000
thanungsamaccat     		68.00		0.00000		0.00000		0.00000		0.00000
phamvanheo1994      		80.00		0.00000		0.00000		0.00000		0.00000
chinhlaanh0505      		599.00		0.00000		0.00000		0.00000		100.00000
nguyenvanhau17071987		599.00		0.00000		0.00000		0.00000		2000.00000
vl2dance11          		597.00		0.00000		0.00000		0.00000		0.00000
kutebaby99tk        		599.00		0.00000		2000000.00000		0.00000		0.00000
nguyenthiettri123   		695.00		0.00000		0.00000		0.00000		0.00000
trankhanhdugt       		47.00		0.00000		0.00000		0.00000		0.00000
deptraibaosay       		89.00		0.00000		0.00000		2500.00000		200.00000
thiennhaxac1        		599.00		0.00000		0.00000		2700.00000		1150.00000
uthp19              		596.00		0.00000		0.00000		0.00000		0.00000
cho_lu_co_don       		71.00		1274869.00000		1280000.00000		400.00000		300.00000
hoanglongzaizai     		76.00		170000.00000		0.00000		204.00000		800.00000
tuoda1989           		86.00		0.00000		0.00000		0.00000		0.00000
tigontrangtrang     		68.00		0.00000		0.00000		4800.00000		150.00000
thuclp5555          		692.00		0.00000		500000.00000		0.00000		0.00000
bahuan2018          		599.00		0.00000		1000057.00000		600.00000		0.00000
vdoankyhao09        		698.00		320000.00000		0.00000		0.00000		0.00000
daikalinhsonla1985  		699.00		0.00000		0.00000		0.00000		0.00000
nguyenvandinh1986vn 		696.00		0.00000		0.00000		100.00000		0.00000
nguyenvanhuynh2023  		599.00		0.00000		1000000.00000		0.00000		0.00000
nguyenvanduongmap   		596.00		1200000.00000		0.00000		7350.00000		0.00000
thieulamquyentaolao 		597.00		36000000.00000		400000.00000		0.00000		0.00000
cutgacum1           		73.00		0.00000		0.00000		3615.00000		0.00000
tuihoongbieet       		40.00		0.00000		17300.00000		0.00000		300.00000
klong0903           		83.00		0.00000		0.00000		0.00000		204.00000
khongocdanh2020     		85.00		0.00000		0.00000		12750.00000		0.00000
ntadm2015           		11.00		0.00000		100000.00000		8300.00000		615.00000
cihuk993            		599.00		2500000.00000		800000.00000		0.00000		0.00000
kuvietdh01          		10.00		0.00000		5000000.00000		0.00000		0.00000
winbay12            		61.00		2850000.00000		0.00000		0.00000		0.00000
volam2372383        		95.00		0.00000		0.00000		0.00000		100.00000
cihuk995            		590.00		800000.00000		2500000.00000		0.00000		0.00000
lieuthelong1991     		10.00		20040847.00000		20040000.00000		6758.00000		1158.00000
lieuthelong1992     		46.00		1840000.00000		25020000.00000		8316.00000		916.00000
trangchudk00        		599.00		0.00000		0.00000		0.00000		200.00000
mortalkombatvdb     		81.00		0.00000		30000.00000		0.00000		0.00000
bobo55kute          		86.00		11600000.00000		0.00000		2800.00000		1400.00000
nguyenthanhphongilove		39.00		9200000.00000		0.00000		438.00000		200.00000
thanh2010duyen1000  		596.00		0.00000		0.00000		0.00000		100.00000
vl2osinvng00        		593.00		0.00000		570000.00000		0.00000		0.00000
game_thu_z          		61.00		110000.00000		0.00000		0.00000		600.00000
vohonglinhtha       		70.00		0.00000		0.00000		13400.00000		2000.00000
daianhhpk1          		695.00		0.00000		6100000.00000		10960.00000		5268.00000
nguyenquand595      		1.00		0.00000		0.00000		0.00000		900.00000
tuanvl877488        		698.00		4200000.00000		2870000.00000		300.00000		648.00000
nh0cv1p1996wcl1     		591.00		0.00000		16800000.00000		800.00000		300.00000
mungpro003          		593.00		0.00000		0.00000		0.00000		700.00000
nhtl364171          		87.00		0.00000		0.00000		200.00000		200.00000
congtuhaixinhzai    		82.00		500000.00000		3900000.00000		831.00000		438.00000
vudieubuon1195      		590.00		0.00000		0.00000		100.00000		0.00000
